Original label: climbing_hold, Prediction: wipes, Confidence: 0.100
Original label: climbing_hold, Prediction: wipes, Confidence: 0.100
Original label: climbing_hold, Prediction: wipes, Confidence: 0.100
Original label: climbing_hold, Prediction: wipes, Confidence: 0.100
Original label: climbing_hold, Prediction: wipes, Confidence: 0.100
Original label: climbing_hold, Prediction: wipes, Confidence: 0.100
Original label: climbing_hold, Prediction: wipes, Confidence: 0.100
Original label: climbing_hold, Prediction: wipes, Confidence: 0.100
Original label: climbing_hold, Prediction: wipes, Confidence: 0.100
Original label: climbing_hold, Prediction: wipes, Confidence: 0.100
Original label: climbing_hold, Prediction: wipes, Confidence: 0.100
Original label: climbing_hold, Prediction: wipes, Confidence: 0.100
Original label: climbing_hold, Prediction: wipes, Confidence: 0.100
Original label: climbing_hold, Prediction: wipes, Confidence: 0.100
Original label: climbing_hold, Prediction: wipes, Confidence: 0.100
Original label: climbing_hold, Prediction: wipes, Confidence: 0.100
Original label: climbing_hold, Prediction: wipes, Confidence: 0.100
Original label: climbing_hold, Prediction: wipes, Confidence: 0.100
Original label: climbing_hold, Prediction: wipes, Confidence: 0.100
Original label: climbing_hold, Prediction: wipes, Confidence: 0.100
Original label: clip, Prediction: wipes, Confidence: 0.100
Original label: clip, Prediction: wipes, Confidence: 0.100
Original label: clip, Prediction: wipes, Confidence: 0.100
Original label: clip, Prediction: wipes, Confidence: 0.100
Original label: clip, Prediction: wipes, Confidence: 0.100
Original label: clip, Prediction: wipes, Confidence: 0.100
Original label: clip, Prediction: wipes, Confidence: 0.100
Original label: clip, Prediction: wipes, Confidence: 0.100
Original label: clip, Prediction: wipes, Confidence: 0.100
Original label: clip, Prediction: wipes, Confidence: 0.100
Original label: clip, Prediction: wipes, Confidence: 0.100
Original label: clip, Prediction: wipes, Confidence: 0.100
Original label: clip, Prediction: wipes, Confidence: 0.100
Original label: clip, Prediction: wipes, Confidence: 0.100
Original label: clip, Prediction: wipes, Confidence: 0.100
Original label: clip, Prediction: wipes, Confidence: 0.100
Original label: clip, Prediction: wipes, Confidence: 0.100
Original label: clip, Prediction: wipes, Confidence: 0.100
Original label: clip, Prediction: wipes, Confidence: 0.100
Original label: clip, Prediction: wipes, Confidence: 0.100
Original label: dasani, Prediction: wipes, Confidence: 0.100
Original label: dasani, Prediction: wipes, Confidence: 0.100
Original label: dasani, Prediction: wipes, Confidence: 0.100
Original label: dasani, Prediction: wipes, Confidence: 0.100
Original label: dasani, Prediction: wipes, Confidence: 0.100
Original label: dasani, Prediction: wipes, Confidence: 0.100
Original label: dasani, Prediction: wipes, Confidence: 0.100
Original label: dasani, Prediction: wipes, Confidence: 0.100
Original label: dasani, Prediction: wipes, Confidence: 0.100
Original label: dasani, Prediction: wipes, Confidence: 0.100
Original label: dasani, Prediction: wipes, Confidence: 0.100
Original label: dasani, Prediction: wipes, Confidence: 0.100
Original label: dasani, Prediction: wipes, Confidence: 0.100
Original label: dasani, Prediction: wipes, Confidence: 0.100
Original label: dasani, Prediction: wipes, Confidence: 0.100
Original label: dasani, Prediction: wipes, Confidence: 0.100
Original label: dasani, Prediction: wipes, Confidence: 0.100
Original label: dasani, Prediction: wipes, Confidence: 0.100
Original label: dasani, Prediction: wipes, Confidence: 0.100
Original label: dasani, Prediction: wipes, Confidence: 0.100
Original label: glue, Prediction: wipes, Confidence: 0.100
Original label: glue, Prediction: wipes, Confidence: 0.100
Original label: glue, Prediction: wipes, Confidence: 0.100
Original label: glue, Prediction: wipes, Confidence: 0.100
Original label: glue, Prediction: wipes, Confidence: 0.100
Original label: glue, Prediction: wipes, Confidence: 0.100
Original label: glue, Prediction: wipes, Confidence: 0.100
Original label: glue, Prediction: wipes, Confidence: 0.100
Original label: glue, Prediction: wipes, Confidence: 0.100
Original label: glue, Prediction: wipes, Confidence: 0.100
Original label: glue, Prediction: wipes, Confidence: 0.100
Original label: glue, Prediction: wipes, Confidence: 0.100
Original label: glue, Prediction: wipes, Confidence: 0.100
Original label: glue, Prediction: wipes, Confidence: 0.100
Original label: glue, Prediction: wipes, Confidence: 0.100
Original label: glue, Prediction: wipes, Confidence: 0.100
Original label: glue, Prediction: wipes, Confidence: 0.100
Original label: glue, Prediction: wipes, Confidence: 0.100
Original label: glue, Prediction: wipes, Confidence: 0.100
Original label: glue, Prediction: wipes, Confidence: 0.100
Original label: spray_bottle, Prediction: wipes, Confidence: 0.100
Original label: spray_bottle, Prediction: wipes, Confidence: 0.100
Original label: spray_bottle, Prediction: wipes, Confidence: 0.100
Original label: spray_bottle, Prediction: wipes, Confidence: 0.100
Original label: spray_bottle, Prediction: wipes, Confidence: 0.100
Original label: spray_bottle, Prediction: wipes, Confidence: 0.100
Original label: spray_bottle, Prediction: wipes, Confidence: 0.100
Original label: spray_bottle, Prediction: wipes, Confidence: 0.100
Original label: spray_bottle, Prediction: wipes, Confidence: 0.100
Original label: spray_bottle, Prediction: wipes, Confidence: 0.100
Original label: spray_bottle, Prediction: wipes, Confidence: 0.100
Original label: spray_bottle, Prediction: wipes, Confidence: 0.100
Original label: spray_bottle, Prediction: wipes, Confidence: 0.100
Original label: spray_bottle, Prediction: wipes, Confidence: 0.100
Original label: spray_bottle, Prediction: wipes, Confidence: 0.100
