Original label: climbing_hold, Prediction: glue, Confidence: 1.000
Original label: climbing_hold, Prediction: glue, Confidence: 1.000
Original label: climbing_hold, Prediction: glue, Confidence: 1.000
Original label: climbing_hold, Prediction: glue, Confidence: 1.000
Original label: climbing_hold, Prediction: glue, Confidence: 1.000
Original label: climbing_hold, Prediction: glue, Confidence: 1.000
Original label: climbing_hold, Prediction: glue, Confidence: 1.000
Original label: climbing_hold, Prediction: glue, Confidence: 1.000
Original label: climbing_hold, Prediction: glue, Confidence: 1.000
Original label: climbing_hold, Prediction: glue, Confidence: 1.000
Original label: climbing_hold, Prediction: glue, Confidence: 1.000
Original label: climbing_hold, Prediction: glue, Confidence: 1.000
Original label: climbing_hold, Prediction: glue, Confidence: 1.000
Original label: climbing_hold, Prediction: glue, Confidence: 1.000
Original label: climbing_hold, Prediction: glue, Confidence: 1.000
Original label: climbing_hold, Prediction: glue, Confidence: 1.000
Original label: climbing_hold, Prediction: glue, Confidence: 1.000
Original label: climbing_hold, Prediction: glue, Confidence: 1.000
Original label: climbing_hold, Prediction: glue, Confidence: 1.000
Original label: climbing_hold, Prediction: glue, Confidence: 1.000
Original label: clip, Prediction: glue, Confidence: 1.000
Original label: clip, Prediction: glue, Confidence: 1.000
Original label: clip, Prediction: glue, Confidence: 1.000
Original label: clip, Prediction: glue, Confidence: 1.000
Original label: clip, Prediction: glue, Confidence: 1.000
Original label: clip, Prediction: glue, Confidence: 1.000
Original label: clip, Prediction: glue, Confidence: 1.000
Original label: clip, Prediction: glue, Confidence: 1.000
Original label: clip, Prediction: glue, Confidence: 1.000
Original label: clip, Prediction: glue, Confidence: 1.000
Original label: clip, Prediction: glue, Confidence: 1.000
Original label: clip, Prediction: glue, Confidence: 1.000
Original label: clip, Prediction: glue, Confidence: 1.000
Original label: clip, Prediction: glue, Confidence: 1.000
Original label: clip, Prediction: glue, Confidence: 1.000
Original label: clip, Prediction: glue, Confidence: 1.000
Original label: clip, Prediction: glue, Confidence: 1.000
Original label: clip, Prediction: glue, Confidence: 1.000
Original label: clip, Prediction: glue, Confidence: 1.000
Original label: clip, Prediction: glue, Confidence: 1.000
Original label: dasani, Prediction: glue, Confidence: 1.000
Original label: dasani, Prediction: glue, Confidence: 1.000
Original label: dasani, Prediction: glue, Confidence: 1.000
Original label: dasani, Prediction: glue, Confidence: 1.000
Original label: dasani, Prediction: glue, Confidence: 1.000
Original label: dasani, Prediction: glue, Confidence: 1.000
Original label: dasani, Prediction: glue, Confidence: 1.000
Original label: dasani, Prediction: glue, Confidence: 1.000
Original label: dasani, Prediction: glue, Confidence: 1.000
Original label: dasani, Prediction: glue, Confidence: 1.000
Original label: dasani, Prediction: glue, Confidence: 1.000
Original label: dasani, Prediction: glue, Confidence: 1.000
Original label: dasani, Prediction: glue, Confidence: 1.000
Original label: dasani, Prediction: glue, Confidence: 1.000
Original label: dasani, Prediction: glue, Confidence: 1.000
Original label: dasani, Prediction: glue, Confidence: 1.000
Original label: dasani, Prediction: glue, Confidence: 1.000
Original label: dasani, Prediction: glue, Confidence: 1.000
Original label: dasani, Prediction: glue, Confidence: 1.000
Original label: dasani, Prediction: glue, Confidence: 1.000
Original label: spray_bottle, Prediction: glue, Confidence: 1.000
Original label: spray_bottle, Prediction: glue, Confidence: 1.000
Original label: spray_bottle, Prediction: glue, Confidence: 1.000
